HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5605.00","0","Metalized yarn, whether or not gimped, being textile yarn, or strip or the like of heading 5404 or 5405, combined with metal in the form of thread, strip or powder or covered with metal:","","","","","",""
"5605.00.10.00","1","Metal coated or metal laminated man-made filament or strip or the like, ungimped, and untwisted or with twist of less than 5 turns per meter","[""kg""]","7.5%","Free (AU,BH, CL,CO,E,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","81%","",""
"5605.00.90.00","1","Other (201)","[""kg""]","13.2%","Free (AU,BH,CL,CO,E*,IL,JO,KR, MA,OM,P,PA,PE,S,SG)","81%","",""
"5606.00.00","0","Gimped yarn, and strip and the like of heading 5404 or 5405, gimped (other than those of heading 5605 and gimped horsehair yarn); chenille yarn (including flock chenille yarn); loop wale-yarn","","8%","Free (AU,BH,CL,CO,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"5606.00.00.10","1","Containing elastomeric filaments (201)","[""kg""]","","","","",""
"5606.00.00.90","1","Other (201)","[""kg""]","","","","",""
"5607","0","Twine, cordage, ropes and cables, whether or not plaited or braided and whether or not impregnated, coated, covered or sheathed with rubber or plastics:","","","","","",""
"","1","Of sisal or other textile fibers of the genus <u>Agave</u>:","","","","","",""
"5607.21.00.00","2","Binder or baler twine","[""kg""]","Free","","Free","",""
"5607.29.00.00","2","Other","[""kg""]","3.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"","1","Of polyethylene or polypropylene:","","","","","",""
"5607.41","2","Binder or baler twine:","","","","","",""
"5607.41.10.00","3","Of wide nonfibrillated strip","[""kg""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"5607.41.30.00","3","Other (201)","[""kg""]","4%","Free (AU,BH,CL, CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","76.5%","",""
"5607.49","2","Other:","","","","","",""
"5607.49.10.00","3","Of wide nonfibrillated strip","[""kg""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"","3","Other, not braided or plaited:","","","","","",""
"5607.49.15.00","4","Measuring less than <il>4.8 mm</il> in diameter (201)","[""kg""]","7%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","76.5%","",""
"5607.49.25.00","4","Other (201)","[""kg""]","9.8¢/kg + 5.3%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","27.6¢/kg + 76.5%","",""
"5607.49.30.00","3","Other (669)","[""kg""]","3.6%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","60%","",""
"5607.50","1","Of other synthetic fibers:","","","","","",""
"","2","Not braided or plaited:","","","","","",""
"5607.50.25.00","3","3-ply or 4-ply multicolored twine having a final ""S"" twist, containing at least 10 percent by weight of cotton, measuring less than 3.5 mm in diameter (201)","[""kg""]","7%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","76.5%","",""
"5607.50.35.00","3","Other (201)","[""kg""]","19.9¢/kg + 10.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","27.6¢/kg + 76.5%","",""
"5607.50.40.00","2","Other (669)","[""kg""]","3.6%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","60%","",""
"5607.90","1","Other:","","","","","",""
"5607.90.10.00","2","Of coir","[""kg""]","Free","","Free","",""
"5607.90.15.00","2","Of jute or other textile bast fibers of heading 5303","[""kg""]","Free","","20%","",""
"","2","Of abaca (Manila hemp or <u>Musa</u> <u>textilis</u> <u>Nee</u>) or other hard (leaf) fibers:","","","","","",""
"5607.90.25.00","3","Of stranded construction measuring 1.88 cm or over in diameter","[""kg""]","Free","","4¢/kg","",""
"5607.90.35.00","3","Other","[""kg""]","3.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"5607.90.90.00","2","Other (201)","[""kg""]","6.3%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","40%","",""
"5608","0","Knotted netting of twine, cordage or rope; made up fishing nets and other made up nets, of textile materials:","","","","","",""
"","1","Of man-made textile materials:","","","","","",""
"5608.11.00","2","Made up fishing nets","","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","82%","",""
"5608.11.00.10","3","Hand-cast string-drawn","[""kg""]","","","","",""
"5608.11.00.90","3","Other (229)","[""kg""]","","","","",""
"5608.19","2","Other:","","","","","",""
"5608.19.10","3","Fish netting","","8.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","82%","",""
"5608.19.10.10","4","Salmon gill netting, of nylon or other polyamides (229)","[""kg""]","","","","",""
"5608.19.10.20","4","Other (229)","[""kg""]","","","","",""
"5608.19.20","3","Other","","5%","Free (AU,B,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"5608.19.20.10","4","Bait bags with draw string closures","[""kg""]","","","","",""
"5608.19.20.90","4","Other (229)","[""kg""]","","","","",""
"5608.90","1","Other:","","","","","",""
"5608.90.10.00","2","Fish netting and fishing nets","[""kg""]","8%","Free (AU,BH, CL,CO,E*,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","82%","",""
"","2","Other:","","","","","",""
"","3","Of cotton:","","","","","",""
"5608.90.23.00","4","Hammocks","[""kg""]","14.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","90%","",""
"5608.90.27.00","4","Other (229)","[""kg""]","14.1%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","90%","",""
"5608.90.30.00","3","Other","[""kg""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","90%","",""
"5609.00","0","Articles of yarn, strip or the like of heading 5404 or 5405, twine, cordage, rope or cables, not elsewhere specified or included:","","","","","",""
"5609.00.10.00","1","Of cotton","[""kg""]","2.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","40%","",""
"5609.00.20.00","1","Of vegetable fibers, except cotton","[""kg""]","Free","","40%","",""
"5609.00.30.00","1","Of man-made fibers","[""kg""]","4.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","78.5%","",""
"5609.00.40.00","1","Other","[""kg""]","3.9%","Free (AU,BH, CL,CO,E*,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","90%","",""
"5701","0","Carpets and other textile floor coverings, knotted, whether or not made up:","","","","","",""
"5701.10","1","Of wool or fine animal hair:","","","","","",""
"","2","In which the pile was hand-inserted or hand-knotted during weaving or knitting, with over 50 percent by weight of the pile being hair of the alpaca, guanaco, huarizo, llama, misti, suri or any combination of these hairs:","","","","","",""
"5701.10.13.00","3","Certified hand-loomed and folklore products","[""m<sup>2<\/sup>"",""kg""]","Free","","45%","",""
"5701.10.16.00","3","Other (465)","[""m<sup>2<\/sup>"",""kg""]","Free","","45%","",""
"","2","Other:","","","","","",""
"5701.10.40.00","3","Hand-hooked, that is, in which the tufts were inserted and knotted by hand or by means of a hand tool (465)","[""m<sup>2<\/sup>"",""kg""]","Free","","45%","",""
"5701.10.90.00","3","Other (465)","[""m<sup>2<\/sup>"",""kg""]","4.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,NP,OM, P,PA,PE,S,SG)","45%","",""
"5701.90","1","Of other textile materials:","","","","","",""
"5701.90.10","2","With pile inserted and knotted during weaving or knitting","","Free","","45%","",""
"5701.90.10.10","3","Hand-knotted","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"5701.90.10.20","4","Of cotton (369)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","","","","",""
"5701.90.10.30","4","Of man-made fibers (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5701.90.10.90","4","Other","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5701.90.20","2","Other","","Free","","60%","",""
"5701.90.20.10","3","Hand-hooked, that is, in which the tufts were inserted and knotted by hand or by means of a hand tool","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"5701.90.20.20","4","Of cotton (369)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","","","","",""
"5701.90.20.30","4","Of man-made fibers (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5701.90.20.90","4","Other","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5702","0","Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar handwoven rugs:","","","","","",""
"5702.10","1","""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand woven rugs:","","","","","",""
"5702.10.10.00","2","Certified hand-loomed and folklore products","[""m<sup>2<\/sup>"",""kg""]","Free","","45%","",""
"5702.10.90","2","Other","","Free","","45%","",""
"5702.10.90.10","3","Of wool or fine animal hair (465)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5702.10.90.20","3","Of cotton (369)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","","","","",""
"5702.10.90.30","3","Of man-made fibers (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5702.10.90.90","3","Other","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5702.20","1","Floor coverings of coconut fibers (coir):","","","","","",""
"5702.20.10.00","2","With pile","[""m<sup>2<\/sup>"",""kg""]","Free","","$1.29/m<sup>2</sup>","",""
"5702.20.20.00","2","Other","[""m<sup>2<\/sup>"",""kg""]","Free","","16%","",""
"","1","Other, of pile construction, not made up:","","","","","",""
"5702.31","2","Of wool or fine animal hair:","","","","","",""
"5702.31.10.00","3","Wilton (including brussels) and velvet (including tapestry) floor coverings and floor coverings of like character or description (465)","[""m<sup>2<\/sup>"",""kg""]","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","60%","",""
"5702.31.20.00","3","Other (465)","[""m<sup>2<\/sup>"",""kg""]","4%","Free (AU,BH, CL,CO,IL,JO,KR, MA,NP,OM, P,PA,PE,S,SG)","60%","",""
"5702.32","2","Of man-made textile materials:","","","","","",""
"5702.32.10.00","3","Wilton (including brussels) and velvet (including tapestry) floor coverings and floor coverings of like character or description (665)","[""m<sup>2<\/sup>"",""kg""]","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","60%","",""
"5702.32.20.00","3","Other (665)","[""m<sup>2<\/sup>"",""kg""]","7%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","60%","",""
"5702.39","2","Of other textile materials:","","","","","",""
"5702.39.10.00","3","Of jute","[""m<sup>2<\/sup>"",""kg""]","Free","","35%","",""
"5702.39.20","3","Other","","3.6%","Free (AU,BH, CL,CO,E*,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","60%","",""
"5702.39.20.10","4","Of cotton (369)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","","","","",""
"5702.39.20.90","4","Other","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","1","Other, of pile construction, made up:","","","","","",""
"5702.41","2","Of wool or fine animal hair:","","","","","",""
"5702.41.10.00","3","Wilton (including brussels) and velvet (including tapestry) floor coverings and floor coverings of like character or description (465)","[""m<sup>2<\/sup>"",""kg""]","Free","","60%","",""
"5702.41.20.00","3","Other (465)","[""m<sup>2<\/sup>"",""kg""]","Free","","60%","",""
"5702.42","2","Of man-made textile materials:","","","","","",""
"5702.42.10.00","3","Wilton (including brussels) and velvet (including tapestry) floor coverings and floor coverings of like character or description (665)","[""m<sup>2<\/sup>"",""kg""]","Free","","60%","",""
"5702.42.20","3","Other","","Free","","60%","",""
"5702.42.20.20","4","Not made on a power-driven loom (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5702.42.20.80","4","Other (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5702.49","2","Of other textile materials:","","","","","",""
"5702.49.10","3","Of cotton","","Free","","35%","",""
"5702.49.10.20","4","Not made on a power-driven loom (369)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","","","","",""
"5702.49.10.80","4","Other (369)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","","","","",""
"5702.49.15.00","3","Of jute","[""m<sup>2<\/sup>""]","Free","","35%","",""
"5702.49.20.00","3","Other","[""m<sup>2<\/sup>"",""kg""]","4%","Free (AU,B,BH, CL,CO,E*,IL,JO,KR,MA,NP,OM,P,PA,PE,S,SG)","60%","",""
"5702.50","1","Other, not of pile construction, not made up:","","","","","",""
"","2","Of wool or fine animal hair:","","","","","",""
"5702.50.20.00","3","Woven, but not made on a power-driven loom (465)","[""m<sup>2<\/sup>"",""kg""]","4.3%","Free (A,AU,BH,CL,CO,D,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"5702.50.40.00","3","Other (465)","[""m<sup>2<\/sup>"",""kg""]","6.3%","Free (AU,BH, CL,CO,IL,JO, KR,MA,NP,OM, P,PA,PE,S,SG)","60%","",""
"5702.50.52.00","2","Of man-made textile materials (665)","[""m<sup>2<\/sup>"",""kg""]","4.7%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","40%","",""
"","2","Of other textile materials:","","","","","",""
"5702.50.56.00","3","Of cotton (369)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","6.8%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","45%","",""
"5702.50.59.00","3","Other","[""m<sup>2<\/sup>"",""kg""]","2.7%","Free (AU,BH, CL,CO,E*,IL,JO,KR,MA,NP,OM, P,PA,PE,S,SG)","40%","",""
"","1","Other, not of pile construction, made up:","","","","","",""
"5702.91","2","Of wool or fine animal hair:","","","","","",""
"","3","Woven, but not made on a power-driven loom:","","","","","",""
"5702.91.20.00","4","Certified hand-loomed and folklore products","[""m<sup>2<\/sup>"",""kg""]","Free","","45%","",""
"5702.91.30.00","4","Other (465)","[""m<sup>2<\/sup>"",""kg""]","4.3%","Free (A*,AU,BH,CL,CO,D,IL,JO,KR,MA,NP,OM,P,PA,PE,S,SG)","45%","",""
"5702.91.40.00","3","Other (465)","[""m<sup>2<\/sup>"",""kg""]","3.6%","Free (AU,BH, CL,CO,IL,JO,KR, MA,NP,OM, P,PA,PE,S,SG)","60%","",""
"5702.92","2","Of man-made textile materials:","","","","","",""
"5702.92.10.00","3","Woven, but not made on a power-driven loom (665)","[""m<sup>2<\/sup>"",""kg""]","2.7%","Free (A*,AU,BH,CL,CO,D,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"5702.92.90.00","3","Other (665)","[""m<sup>2<\/sup>"",""kg""]","2.7%","Free (AU,BH, CL,CO,IL,JO,KR, MA,NP,OM, P,PA,PE,S,SG)","40%","",""
"5702.99","2","Of other textile materials:","","","","","",""
"","3","Of cotton:","","","","","",""
"5702.99.05.00","4","Woven, but not made on a power-driven loom (369)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","6.8%","Free (A*,AU,BH,CL,CO,D,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"5702.99.15.00","4","Other (369)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","6.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,NP,OM, P,PA,PE,S,SG)","45%","",""
"5702.99.20.00","3","Other","[""m<sup>2<\/sup>"",""kg""]","2.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"5703","0","Carpets and other textile floor coverings (including turf), tufted, whether or not made up:","","","","","",""
"5703.10","1","Of wool or fine animal hair:","","","","","",""
"5703.10.20.00","2","Hand-hooked, that is, in which the tufts were inserted by hand or by means of a hand tool (465)","[""m<sup>2<\/sup>"",""kg""]","6%","Free (A*,AU,B,BH,CL,CO,D,IL,JO,KR,MA,NP,OM,P,PA,PE,S,SG)","60%","",""
"5703.10.80.00","2","Other (465)","[""m<sup>2<\/sup>"",""kg""]","6%","Free (AU,B,BH,CL,CO,IL,JO, KR,MA,NP,OM, P,PA,PE,S,SG)","60%","",""
"","1","Of nylon or other polyamides:","","","","","",""
"5703.21.00","2","Turf","","6.7%","Free (AU,B,BH,CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","60%","",""
"5703.21.00.10","3","Measuring not more than 5.25 m<sup>2</sup> in area (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5703.21.00.90","3","Other (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5703.29","2","Other:","","","","","",""
"5703.29.10.00","3","Hand-hooked, that is, in which the tufts were inserted by hand or by means of a hand tool (665)","[""m<sup>2<\/sup>"",""kg""]","5.8%","Free (A,AU,BH,CL,CO,D,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"5703.29.20","3","Other","","6.7%","Free (AU,B,BH,CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","60%","",""
"5703.29.20.10","4","Measuring not more than 5.25 m<sup>2</sup> in area (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5703.29.20.90","4","Other (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","1","Of other man-made textile materials:","","","","","",""
"5703.31.00","2","Turf","","6%","Free (AU,B,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","60%","",""
"5703.31.00.30","3","Measuring not more than <il>5.25 m<sup>2</sup></il> in area (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"5703.31.00.60","4","In rolls of a width equal to or exceeding 1.0 meter, or in sheets measuring 1.0 meter or greater on any side (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5703.31.00.85","4","Other (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5703.39","2","Other:","","","","","",""
"5703.39.10.00","3","Hand-hooked, that is, in which the tufts were inserted by hand or by means of a hand tool (665)","[""m<sup>2<\/sup>"",""kg""]","6%","Free (A,AU,B,BH,CL,CO,D,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"5703.39.20","3","Other","","6%","Free (AU,B,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","60%","",""
"5703.39.20.30","4","Measuring not more than <il>5.25 m<sup>2</sup></il> in area (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5703.39.20.90","4","Other (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5703.90.00.00","1","Of other textile materials","[""m<sup>2<\/sup>"",""kg""]","3.8%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,NP,OM,P,PA,PE,S,SG)","60%","",""
"5704","0","Carpets and other textile floor coverings, of felt, not tufted or flocked, whether or not made up:","","","","","",""
"5704.10.00","1","Tiles, having a maximum surface area of <il>0.3 m<sup>2</sup></il>","","4.7%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","40%","",""
"5704.10.00.10","2","Of wool or fine animal hair (465)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
